ID_LAT_LON_YEAR_WEEK,emission
ID_-0.510_29.290_2022_00,161.4565161
ID_-0.510_29.290_2022_01,161.5910457
ID_-0.510_29.290_2022_02,161.5752417
ID_-0.510_29.290_2022_03,161.5871445
ID_-0.510_29.290_2022_04,161.5405867
ID_-0.510_29.290_2022_05,161.2452218
ID_-0.510_29.290_2022_06,161.2964067
ID_-0.510_29.290_2022_07,161.1094515
ID_-0.510_29.290_2022_08,161.5880702
ID_-0.510_29.290_2022_09,161.5861321
ID_-0.510_29.290_2022_10,161.399625
ID_-0.510_29.290_2022_11,161.2452218
ID_-0.510_29.290_2022_12,161.5405867
ID_-0.510_29.290_2022_13,161.2604768
ID_-0.510_29.290_2022_14,161.5188452
ID_-0.510_29.290_2022_15,161.6317025
ID_-0.510_29.290_2022_16,161.349166
ID_-0.510_29.290_2022_17,161.3016825
ID_-0.510_29.290_2022_18,161.5188452
ID_-0.510_29.290_2022_19,161.6317025
ID_-0.510_29.290_2022_20,161.8231232
ID_-0.510_29.290_2022_21,161.3883467
ID_-0.510_29.290_2022_22,161.8715941
ID_-0.510_29.290_2022_23,161.3830749
ID_-0.510_29.290_2022_24,161.3445046
ID_-0.510_29.290_2022_25,161.349166
ID_-0.510_29.290_2022_26,161.8142101
ID_-0.510_29.290_2022_27,161.2956808
ID_-0.510_29.290_2022_28,161.8231232
ID_-0.510_29.290_2022_29,161.6317025
ID_-0.510_29.290_2022_30,161.2452218
ID_-0.510_29.290_2022_31,161.5188452
ID_-0.510_29.290_2022_32,161.584219
ID_-0.510_29.290_2022_33,161.104986
ID_-0.510_29.290_2022_34,161.391988
ID_-0.510_29.290_2022_35,161.5405867
ID_-0.510_29.290_2022_36,161.399625
ID_-0.510_29.290_2022_37,161.4821879
ID_-0.510_29.290_2022_38,161.8231232
ID_-0.510_29.290_2022_39,161.7775528
ID_-0.510_29.290_2022_40,161.6317025
ID_-0.510_29.290_2022_41,161.6313146
ID_-0.510_29.290_2022_42,161.5861321
ID_-0.510_29.290_2022_43,161.9157891
ID_-0.510_29.290_2022_44,161.4448075
ID_-0.510_29.290_2022_45,161.5871445
ID_-0.510_29.290_2022_46,161.4821879
ID_-0.510_29.290_2022_47,161.6115111
ID_-0.510_29.290_2022_48,161.0818037
ID_-0.528_29.472_2022_00,161.1739796
ID_-0.528_29.472_2022_01,161.5386486
ID_-0.528_29.472_2022_02,161.3363376
ID_-0.528_29.472_2022_03,161.3977119
ID_-0.528_29.472_2022_04,161.5405867
ID_-0.528_29.472_2022_05,161.2452218
ID_-0.528_29.472_2022_06,161.6317025
ID_-0.528_29.472_2022_07,161.5405867
ID_-0.528_29.472_2022_08,161.2964067
ID_-0.528_29.472_2022_09,161.5386486
ID_-0.528_29.472_2022_10,162.7030587
ID_-0.528_29.472_2022_11,161.5353952
ID_-0.528_29.472_2022_12,161.3016825
ID_-0.528_29.472_2022_13,161.349166
ID_-0.528_29.472_2022_14,161.7674727
ID_-0.528_29.472_2022_15,161.3464176
ID_-0.528_29.472_2022_16,161.1599105
ID_-0.528_29.472_2022_17,161.5880702
ID_-0.528_29.472_2022_18,161.4821879
ID_-0.528_29.472_2022_19,161.6317025
ID_-0.528_29.472_2022_20,161.6227894
ID_-0.528_29.472_2022_21,161.5277583
ID_-0.528_29.472_2022_22,161.7775528
ID_-0.528_29.472_2022_23,161.7674727
ID_-0.528_29.472_2022_24,161.3830749
ID_-0.528_29.472_2022_25,161.8250362
ID_-0.528_29.472_2022_26,161.6317025
